year_of_info,registration_number,state_medical_council,name,father_or_husband_name,qualification_1,qualification_1_year,university_name,qualification_2,qualification_2_year,email,date_of_birth,date_of_registration,age,experience_years
2015,77806,Andhra Pradesh Medical Council,Rachit Kalita,Amol Dave,MBBS,1999,SVIMS Tirupati,MD (Gen. Med.),2008,soak@example.com,24-11-1996,09-01-2020,29,27
2009,65172,Andhra Pradesh Medical Council,Ryan Gokhale,Lavanya Sampath,MBBS,1990,NTR University of Health Sciences,,,miteshkar@example.com,04-08-2000,08-11-2025,25,36
2016,42762,Andhra Pradesh Medical Council,Chameli Brar,Chakrika Balay,MBBS,1996,U.Mysore,MD (Pediatrics),2006,ganga83@example.net,25-06-1985,09-12-2020,40,30
2006,77490,Andhra Pradesh Medical Council,Aarush Patla,Anusha Kari,MBBS,1988,U.Mysore,MS (Ortho),2013,nagarneha@example.org,01-08-1972,10-07-2015,53,38
2013,77228,Andhra Pradesh Medical Council,Shravya Prashad,Vasudha Balasubramanian,MBBS,1997,SVIMS Tirupati,,,dasguptajagdish@example.com,01-09-1992,31-07-2024,33,29
2014,86659,Andhra Pradesh Medical Council,Vamakshi Madan,Mugdha Anand,MBBS,1995,U.Mysore,MD (Pediatrics),2018,mallharita@example.net,09-06-1995,04-12-2019,30,31
2005,71891,Andhra Pradesh Medical Council,Qarin Mukhopadhyay,Hemani Lala,MBBS,1989,U.Mysore,MS (Ortho),1998,knarain@example.net,05-05-1974,28-04-2001,51,37
2019,92762,Andhra Pradesh Medical Council,Jagdish Konda,Kiaan Hegde,MBBS,2003,U.Mysore,MD (Gen. Med.),2014,diptakota@example.org,15-06-1973,17-12-2016,52,23
2020,66705,Andhra Pradesh Medical Council,Chatresh Bal,Urmi Tara,MBBS,2001,U.Mysore,MD (Gen. Med.),2013,tailorjoshua@example.org,26-12-1993,22-09-2018,32,25
2010,49764,Andhra Pradesh Medical Council,Manbir Prasad,Bina Char,MBBS,1991,NTR University of Health Sciences,MD (Pediatrics),2000,kulkarnidalaja@example.net,17-11-1988,13-08-2015,37,35
2004,88887,Andhra Pradesh Medical Council,Dakshesh Pai,Ekavir Swamy,MBBS,1988,U.Mysore,MD (Gen. Med.),2017,bhattacharyyasachi@example.net,13-07-1995,07-01-2018,30,38
2015,59699,Andhra Pradesh Medical Council,Yutika Loke,Kavya Kunda,MBBS,1998,NTR University of Health Sciences,,,finn56@example.net,20-08-1996,12-05-2023,29,28
2005,78255,Andhra Pradesh Medical Council,Isaac Wason,Jason Oak,MBBS,1989,NTR University of Health Sciences,MD (Gen. Med.),2000,udant85@example.org,12-04-1991,05-07-2022,34,37
2011,61419,Andhra Pradesh Medical Council,Nihal Ravi,Matthew Goel,MBBS,1995,U.Mysore,,,cchoudhary@example.org,24-01-1990,09-11-2025,35,31
2002,76993,Andhra Pradesh Medical Council,Reyansh Konda,Diya Mannan,MBBS,1984,SVIMS Tirupati,MD (Pediatrics),2005,aditya71@example.org,03-01-1977,21-01-2007,49,42
2015,45844,Andhra Pradesh Medical Council,Oviya Batta,Advay Pingle,MBBS,1998,SVIMS Tirupati,MD (Pediatrics),2008,vedika16@example.com,19-11-1970,16-01-2020,55,28
2010,47408,Andhra Pradesh Medical Council,Nimrat Agarwal,Priya Balay,MBBS,1992,NTR University of Health Sciences,MS (Ortho),2006,jaidube@example.org,01-04-1974,05-05-2008,51,34
2011,99771,Andhra Pradesh Medical Council,Waida Wason,Rajeshri Chaudhary,MBBS,1992,U.Mysore,,,vsubramaniam@example.net,21-12-1990,25-10-2020,35,34
2006,89149,Andhra Pradesh Medical Council,Simon Manda,Rudra Mahajan,MBBS,1991,SVIMS Tirupati,MD (Pediatrics),2000,chandreshnagar@example.org,10-06-1987,13-04-2025,38,35
2023,79903,Andhra Pradesh Medical Council,Falak Deol,Rachita Basu,MBBS,2005,U.Mysore,MD (Pediatrics),2013,ayushman35@example.com,04-08-1987,14-04-2014,38,21
2018,84139,Andhra Pradesh Medical Council,Krishna Wagle,Veda Bhargava,MBBS,2003,U.Mysore,MD (Pediatrics),2005,sibalcharles@example.com,24-05-1973,09-06-2008,52,23
2007,43099,Andhra Pradesh Medical Council,Qadim Seshadri,Zinal Mangal,MBBS,1990,SVIMS Tirupati,MD (Gen. Med.),2000,wahab43@example.org,08-05-1999,15-03-2024,26,36
2017,68221,Andhra Pradesh Medical Council,Shravya Sehgal,Tamanna Singhal,MBBS,2000,SVIMS Tirupati,MD (Pediatrics),2000,aishanivarty@example.com,13-08-1976,13-10-2003,49,26
2017,75168,Andhra Pradesh Medical Council,Arya Majumdar,Yauvani Bhagat,MBBS,1999,NTR University of Health Sciences,,,rsani@example.com,27-11-1992,20-06-2025,33,27
2006,70152,Andhra Pradesh Medical Council,Shivani Raman,Zilmil Sankaran,MBBS,1991,NTR University of Health Sciences,MD (Gen. Med.),2018,pushtibasak@example.org,11-04-1974,31-07-2021,51,35
2010,95214,Andhra Pradesh Medical Council,Reva Kalla,Ekbal Saxena,MBBS,1995,NTR University of Health Sciences,,,divansimon@example.com,22-01-1976,05-01-2015,49,31
2008,55593,Andhra Pradesh Medical Council,Umang Pingle,Lekha Koshy,MBBS,1989,NTR University of Health Sciences,MD (Pediatrics),2019,zaidmukhopadhyay@example.net,10-07-1989,29-03-2020,36,37
2021,79151,Andhra Pradesh Medical Council,Owen Randhawa,Reva Barad,MBBS,2004,U.Mysore,MD (Pediatrics),2011,kritika82@example.com,03-03-1970,02-10-2012,55,22
2007,76055,Andhra Pradesh Medical Council,Girish Nazareth,Alexander Chaudhari,MBBS,1987,NTR University of Health Sciences,MD (Pediatrics),1998,barkhapalla@example.org,13-10-1992,06-08-2024,33,39
2016,63944,Andhra Pradesh Medical Council,Madhavi Shetty,Januja Warrior,MBBS,1999,U.Mysore,MD (Gen. Med.),2007,prisha96@example.org,12-09-1981,04-09-2014,44,27
2015,54616,Andhra Pradesh Medical Council,Irya Chaudhuri,Arin Bhattacharyya,MBBS,2000,U.Mysore,MD (Pediatrics),2010,lekha67@example.net,10-03-2000,12-03-2023,25,26
2020,46904,Andhra Pradesh Medical Council,Aahana Dayal,Jasmit Wable,MBBS,2005,U.Mysore,MD (Pediatrics),2013,rdey@example.net,07-11-1988,11-09-2017,37,21
2023,93017,Andhra Pradesh Medical Council,Nakul Trivedi,Xavier Gupta,MBBS,2005,NTR University of Health Sciences,MD (Pediatrics),2017,hemani05@example.net,25-12-1971,22-08-2008,54,21
2009,97735,Andhra Pradesh Medical Council,Geetika Deshpande,Quincy Ray,MBBS,1993,NTR University of Health Sciences,MS (Ortho),2002,zzacharia@example.net,18-08-1994,06-03-2020,31,33
2005,63973,Andhra Pradesh Medical Council,Advaith Ahluwalia,Urmi Chakraborty,MBBS,1986,U.Mysore,MS (Ortho),2023,onkarsoni@example.net,06-01-1981,12-03-2025,45,40
2010,56287,Andhra Pradesh Medical Council,Nitara Ramanathan,Praneel Oommen,MBBS,1993,SVIMS Tirupati,MS (Ortho),2016,xmadan@example.net,05-04-1986,24-03-2019,39,33
2002,59272,Andhra Pradesh Medical Council,Udyati Sankar,Alka Shanker,MBBS,1983,U.Mysore,,,ishaanmaharaj@example.com,23-04-1991,12-12-2024,34,43
2011,75872,Andhra Pradesh Medical Council,Gaurav Puri,Kala Lala,MBBS,1991,NTR University of Health Sciences,MD (Gen. Med.),2002,handaabdul@example.com,13-08-1987,29-06-2021,38,35
2002,82240,Andhra Pradesh Medical Council,Chandani Rastogi,Ekalinga Pal,MBBS,1986,NTR University of Health Sciences,,,guhakala@example.com,01-12-1999,13-03-2025,26,40
2003,48628,Andhra Pradesh Medical Council,Wahab Nayar,Ishani Datta,MBBS,1988,U.Mysore,,,siyaraval@example.org,20-05-1988,23-05-2025,37,38
2006,64836,Andhra Pradesh Medical Council,Sara Bala,Samar Chowdhury,MBBS,1990,U.Mysore,MS (Ortho),2008,sehgalzayyan@example.com,19-05-1981,11-11-2010,44,36
2020,42961,Andhra Pradesh Medical Council,Jhalak Rana,Zaid Dara,MBBS,2000,SVIMS Tirupati,,,magartanmayi@example.net,03-09-1989,29-11-2016,36,26
2014,52296,Andhra Pradesh Medical Council,Meghana Chad,Mohammed Parmer,MBBS,1997,SVIMS Tirupati,,,sarafedhitha@example.org,24-08-1973,10-04-2005,52,29
2018,85463,Andhra Pradesh Medical Council,Varenya Bhattacharyya,Vansha Bobal,MBBS,2002,NTR University of Health Sciences,MS (Ortho),1991,georgesankar@example.net,29-05-1970,02-08-1992,55,24
2015,67789,Andhra Pradesh Medical Council,Ira Wali,Odika Chaudry,MBBS,1996,NTR University of Health Sciences,,,ykoshy@example.net,24-07-1976,12-05-2009,49,30
2013,97703,Andhra Pradesh Medical Council,Tanmayi Grewal,Xalak Sanghvi,MBBS,1996,NTR University of Health Sciences,MD (Gen. Med.),2020,dwali@example.net,04-04-1997,22-01-2022,28,30
2004,64372,Andhra Pradesh Medical Council,Amara Batta,Dipta Dash,MBBS,1989,SVIMS Tirupati,MD (Pediatrics),2016,jeetrastogi@example.com,07-04-1984,27-02-2017,41,37
2010,97412,Andhra Pradesh Medical Council,Ishwar Edwin,Mohammed Rattan,MBBS,1992,NTR University of Health Sciences,MD (Pediatrics),2021,triveni84@example.com,27-11-1996,05-04-2024,29,34
2002,75102,Andhra Pradesh Medical Council,Ekaja Manda,Gautam Kari,MBBS,1984,U.Mysore,,,shuklaoeshi@example.net,26-07-1995,24-12-2021,30,42
2005,68019,Andhra Pradesh Medical Council,Nicholas Sheth,Nidra Bora,MBBS,1988,NTR University of Health Sciences,MS (Ortho),1998,qtaneja@example.com,10-01-1995,16-08-2017,31,38
2007,99025,Andhra Pradesh Medical Council,Sathvik Butala,Saksham Bhatia,MBBS,1988,U.Mysore,MD (Gen. Med.),1999,pandyahiral@example.com,08-12-1982,10-02-2012,43,38
2006,58374,Andhra Pradesh Medical Council,Rushil Rajagopalan,Yochana Bhardwaj,MBBS,1986,U.Mysore,,,edhitha75@example.org,14-11-1994,12-09-2022,31,40
2023,87459,Andhra Pradesh Medical Council,Kevin Bir,Ikbal Ahluwalia,MBBS,2005,NTR University of Health Sciences,MS (Ortho),2014,nadigwarda@example.com,17-09-1980,05-11-2018,45,21
2005,87876,Andhra Pradesh Medical Council,Brijesh Kohli,Ishwar Lal,MBBS,1989,U.Mysore,,,viswanathanbahadurjit@example.net,02-03-1980,10-05-2013,45,37
2022,43554,Andhra Pradesh Medical Council,Isaiah Dewan,Frederick Om,MBBS,2005,NTR University of Health Sciences,MD (Pediatrics),2004,mangatisaiah@example.org,28-04-1972,30-08-2006,53,21
2007,49427,Andhra Pradesh Medical Council,Ladli Sundaram,Abeer Kanda,MBBS,1992,NTR University of Health Sciences,MS (Ortho),2021,shayadavi@example.com,29-08-2000,18-03-2023,25,34
2008,72945,Andhra Pradesh Medical Council,Ishwar Kari,Wishi Amble,MBBS,1989,SVIMS Tirupati,MS (Ortho),2002,oeshi88@example.com,12-01-1987,07-10-2023,39,37
2002,77092,Andhra Pradesh Medical Council,Rajata Bedi,Kashish Ratta,MBBS,1986,U.Mysore,MS (Ortho),2016,balpriya@example.org,03-06-1987,20-05-2017,38,40
2000,90529,Andhra Pradesh Medical Council,Diya Garg,Jonathan Chowdhury,MBBS,1983,SVIMS Tirupati,MD (Gen. Med.),2016,bnadkarni@example.net,05-07-1973,19-12-2017,52,43
2013,95440,Andhra Pradesh Medical Council,Aarav Divan,Anay Kapur,MBBS,1998,NTR University of Health Sciences,MS (Ortho),2020,ishanvikarpe@example.com,18-06-1980,24-10-2021,45,28
2015,61376,Andhra Pradesh Medical Council,Patrick Sarraf,Aadhya Khurana,MBBS,1995,SVIMS Tirupati,MD (Pediatrics),2019,nakuldoshi@example.org,21-03-1979,21-06-2020,46,31
2011,89393,Andhra Pradesh Medical Council,Charita Chhabra,Balvan Chahal,MBBS,1991,NTR University of Health Sciences,MD (Pediatrics),2022,nitara64@example.net,21-11-1998,28-06-2024,27,35
2023,85584,Andhra Pradesh Medical Council,Ubika Subramanian,Omisha Tank,MBBS,2004,SVIMS Tirupati,MS (Ortho),2013,danisachi@example.net,18-06-1976,16-11-2015,49,22
2021,94725,Andhra Pradesh Medical Council,Tanveer Gara,Abeer Ram,MBBS,2001,NTR University of Health Sciences,,,gautamchakraborty@example.org,04-09-1970,27-04-2019,55,25
2012,80101,Andhra Pradesh Medical Council,Vrinda Singhal,Naksh Choudhury,MBBS,1994,NTR University of Health Sciences,MS (Ortho),2005,harshilchauhan@example.org,03-01-1993,13-01-2021,33,32
2022,44054,Andhra Pradesh Medical Council,Tarak Kapadia,Siddharth Rattan,MBBS,2005,SVIMS Tirupati,MS (Ortho),2017,madanchakradev@example.org,06-06-1987,31-08-2022,38,21
2016,83739,Andhra Pradesh Medical Council,Balhaar Nair,Dalbir Gokhale,MBBS,2001,NTR University of Health Sciences,MS (Ortho),2008,brindasarkar@example.org,16-01-1971,13-05-2015,55,25
2014,45064,Andhra Pradesh Medical Council,Upma Mandal,Onkar Gulati,MBBS,1996,SVIMS Tirupati,MS (Ortho),2004,maxpall@example.net,11-01-1987,11-09-2010,39,30
2003,68053,Andhra Pradesh Medical Council,Frado Chana,Dayita Zachariah,MBBS,1987,NTR University of Health Sciences,MD (Pediatrics),1996,nigamchanchal@example.com,11-10-1995,20-12-2023,30,39
2014,49789,Andhra Pradesh Medical Council,Manbir Lall,Gaurika Chaudry,MBBS,1996,U.Mysore,MD (Gen. Med.),2012,nbhargava@example.net,05-05-1989,30-09-2015,36,30
2013,62570,Andhra Pradesh Medical Council,Raagini Choudhry,Kiaan Keer,MBBS,1997,U.Mysore,MD (Gen. Med.),2005,nagybhavya@example.com,29-03-1982,14-10-2010,43,29
2012,56428,Andhra Pradesh Medical Council,Jackson Malhotra,Robert Biswas,MBBS,1997,SVIMS Tirupati,MD (Pediatrics),2003,valaqushi@example.net,08-03-1999,03-08-2022,26,29
2018,73019,Andhra Pradesh Medical Council,Matthew Dara,Bachittar Chandran,MBBS,1999,U.Mysore,MD (Gen. Med.),2015,chopraishanvi@example.org,11-02-1986,13-04-2017,39,27
2017,51061,Andhra Pradesh Medical Council,Hiral Gera,Ganga Tripathi,MBBS,2000,SVIMS Tirupati,MS (Ortho),2012,aurorapriya@example.net,18-02-1991,17-06-2013,34,26
2002,45406,Andhra Pradesh Medical Council,Shravya Saini,Nidhi Warrior,MBBS,1986,NTR University of Health Sciences,MD (Gen. Med.),2005,jonathannagarajan@example.com,30-10-1984,10-12-2008,41,40
2013,89723,Andhra Pradesh Medical Council,Alexander Lanka,Urvi Tank,MBBS,1997,U.Mysore,MD (Gen. Med.),2004,lalafiyaz@example.org,30-06-1985,14-02-2017,40,29
2011,97085,Andhra Pradesh Medical Council,Quincy Wadhwa,Krishna Sarma,MBBS,1992,U.Mysore,MD (Pediatrics),2006,ridhi87@example.org,13-04-1985,18-12-2021,40,34
2017,60895,Andhra Pradesh Medical Council,Jatin Deep,Adya Palla,MBBS,1998,U.Mysore,MD (Gen. Med.),2023,alexanderkannan@example.net,17-03-1975,04-12-2024,50,28
2003,48016,Andhra Pradesh Medical Council,Omya Dhaliwal,Elijah Bose,MBBS,1988,U.Mysore,MD (Gen. Med.),1994,chauhanekaja@example.org,01-08-1992,30-12-2015,33,38
2015,84194,Andhra Pradesh Medical Council,Jeremiah Pradhan,Chameli Balasubramanian,MBBS,2000,U.Mysore,MD (Pediatrics),2008,vchandran@example.org,06-03-1980,29-05-2003,45,26
2009,55813,Andhra Pradesh Medical Council,Rohan Varghese,Lohit Batra,MBBS,1990,NTR University of Health Sciences,MD (Pediatrics),2001,somfalak@example.net,25-04-1981,17-10-2012,44,36
2000,93135,Andhra Pradesh Medical Council,Isha Natarajan,Ekta Setty,MBBS,1981,NTR University of Health Sciences,MD (Pediatrics),1991,waidadugar@example.com,10-01-1993,10-02-2021,33,45
2004,51064,Andhra Pradesh Medical Council,Orinder Ahuja,Peter Bobal,MBBS,1987,U.Mysore,,,sarafcharvi@example.com,21-01-1982,14-11-2023,43,39
2001,40284,Andhra Pradesh Medical Council,Rajata Dada,Fariq Randhawa,MBBS,1984,NTR University of Health Sciences,MS (Ortho),1995,vnaidu@example.net,16-06-1975,21-01-2011,50,42
2003,42018,Andhra Pradesh Medical Council,Bhavna Thaman,Damyanti Sur,MBBS,1983,NTR University of Health Sciences,,,ishathaker@example.net,27-02-1993,25-03-2022,32,43
2021,47517,Andhra Pradesh Medical Council,Qadim Dixit,Gaurang Varkey,MBBS,2003,SVIMS Tirupati,,,gagan60@example.org,28-03-1980,31-08-2008,45,23
2023,49521,Andhra Pradesh Medical Council,Ethan Mani,Ikbal Balasubramanian,MBBS,2008,U.Mysore,MD (Gen. Med.),2013,atharv91@example.net,30-03-1991,03-01-2015,34,18
2009,98103,Andhra Pradesh Medical Council,Gaurang Shukla,Jagrati Barman,MBBS,1992,NTR University of Health Sciences,,,kalayuvraj@example.net,06-10-1999,12-09-2023,26,34
2012,99650,Andhra Pradesh Medical Council,Peter Saini,Dayita Patel,MBBS,1994,NTR University of Health Sciences,MS (Ortho),2002,nachiketsinghal@example.net,01-11-1988,19-04-2018,37,32
2015,68101,Andhra Pradesh Medical Council,Vedika Srinivasan,Unnati Sathe,MBBS,1997,U.Mysore,MD (Gen. Med.),2008,oradhakrishnan@example.com,20-06-1986,03-08-2012,39,29
2019,62537,Andhra Pradesh Medical Council,Vyanjana Soman,Chaaya Dutt,MBBS,2004,U.Mysore,,,ojaskalita@example.net,13-08-1980,07-06-2021,45,22
2021,78822,Andhra Pradesh Medical Council,Jackson Muni,Anika Chanda,MBBS,2005,NTR University of Health Sciences,MD (Pediatrics),2021,perisanya@example.com,28-08-1996,23-06-2023,29,21
2019,96092,Andhra Pradesh Medical Council,Elijah Tella,Shaurya Mittal,MBBS,2003,SVIMS Tirupati,MD (Pediatrics),2015,karan84@example.net,09-03-1979,31-07-2017,46,23
2006,59676,Andhra Pradesh Medical Council,Vedant Borra,Ekalinga Pandya,MBBS,1989,SVIMS Tirupati,,,fdhar@example.net,06-03-1990,02-07-2013,35,37
2018,90251,Andhra Pradesh Medical Council,Maanav Swamy,Gautami Choudhry,MBBS,1999,NTR University of Health Sciences,,,madhavidey@example.net,04-07-1977,30-06-2003,48,27
2000,94638,Andhra Pradesh Medical Council,Qasim Desai,Jeevika Kale,MBBS,1983,NTR University of Health Sciences,MD (Pediatrics),1990,akshay60@example.net,29-11-2000,09-02-2023,25,43
2016,74971,Andhra Pradesh Medical Council,Sarthak Ahluwalia,Jyoti Apte,MBBS,2000,SVIMS Tirupati,,,jasontata@example.org,16-03-1988,26-05-2013,37,26
2012,88636,Andhra Pradesh Medical Council,Shaurya Vora,Fitan Palla,MBBS,1997,U.Mysore,,,timothychawla@example.com,03-05-1976,29-05-2023,49,29
2005,93642,Andhra Pradesh Medical Council,Arin Vig,Reva Chaudhary,MBBS,1990,U.Mysore,,,thamannisha@example.net,12-05-1976,10-02-2013,49,36
2004,73085,Andhra Pradesh Medical Council,Vedika Oak,Nidra Chandran,MBBS,1989,NTR University of Health Sciences,MS (Ortho),1997,divanfaraj@example.net,06-02-1970,14-12-2021,55,37
2001,70611,Andhra Pradesh Medical Council,Sachi Oza,Aahana Mittal,MBBS,1984,NTR University of Health Sciences,,,rdubey@example.org,06-10-1972,29-09-1998,53,42
2012,78352,Andhra Pradesh Medical Council,Ethan Dar,Ayaan Grewal,MBBS,1994,SVIMS Tirupati,MD (Gen. Med.),2017,radhikalala@example.org,14-03-1970,29-12-2020,55,32
2000,46915,Andhra Pradesh Medical Council,Edhitha Anand,Abeer Chacko,MBBS,1980,SVIMS Tirupati,,,zaitrabahl@example.net,16-05-1976,26-11-2005,49,46
2023,74519,Andhra Pradesh Medical Council,Vanya Dhingra,Darsh Sule,MBBS,2003,NTR University of Health Sciences,MS (Ortho),2022,indrajit70@example.com,23-12-1996,27-11-2025,29,23
2019,71659,Andhra Pradesh Medical Council,Jairaj Maharaj,Idika Chaudhari,MBBS,2002,U.Mysore,MS (Ortho),2012,murthybachittar@example.net,01-04-1988,31-03-2015,37,24
2009,96533,Andhra Pradesh Medical Council,Chandresh Chacko,Yatin Karnik,MBBS,1992,NTR University of Health Sciences,MS (Ortho),2009,baghyawatishankar@example.org,08-03-1982,21-08-2012,43,34
2004,49637,Andhra Pradesh Medical Council,Falguni Sodhi,Naveen Kale,MBBS,1984,SVIMS Tirupati,MD (Gen. Med.),1995,megharam@example.com,03-12-1978,04-10-2017,47,42
2014,70975,Andhra Pradesh Medical Council,Garima Dasgupta,Ranbir Dhawan,MBBS,1995,U.Mysore,MS (Ortho),2008,balhaar02@example.com,25-12-2000,07-12-2024,25,31
2012,41660,Andhra Pradesh Medical Council,Darika Prashad,Lucky Ganguly,MBBS,1992,U.Mysore,MS (Ortho),2005,dpandya@example.com,29-10-1972,26-01-2008,53,34
2023,67239,Andhra Pradesh Medical Council,Devansh Apte,Fiyaz Om,MBBS,2008,SVIMS Tirupati,,,rkeer@example.com,07-03-1981,01-03-2016,44,18
2016,45565,Andhra Pradesh Medical Council,Sara Gill,Hiral Shroff,MBBS,1997,SVIMS Tirupati,MD (Gen. Med.),2008,nihalbrar@example.org,22-03-1999,04-09-2021,26,29
2015,60556,Andhra Pradesh Medical Council,Saksham Bobal,Wishi Modi,MBBS,1997,NTR University of Health Sciences,MS (Ortho),2005,rpai@example.com,19-12-1977,31-10-2020,48,29
2021,57695,Andhra Pradesh Medical Council,Imaran Kuruvilla,Shivani Kumer,MBBS,2005,U.Mysore,,,pvenkatesh@example.com,13-08-1996,26-01-2023,29,21
2019,76936,Andhra Pradesh Medical Council,Victor Chopra,Ekanta Viswanathan,MBBS,2001,SVIMS Tirupati,,,wridesh60@example.com,17-11-1980,12-08-2009,45,25
2017,89298,Andhra Pradesh Medical Council,Charita Gola,Nathan Ghosh,MBBS,1998,NTR University of Health Sciences,MS (Ortho),2015,skarnik@example.org,07-01-1992,19-08-2018,34,28
2002,99221,Andhra Pradesh Medical Council,Caleb Mittal,Hamsini Shere,MBBS,1982,SVIMS Tirupati,MD (Pediatrics),2023,bhasinedhitha@example.net,09-05-1996,16-06-2024,29,44
2007,67199,Andhra Pradesh Medical Council,Osha Dhar,Forum Palla,MBBS,1987,U.Mysore,MD (Gen. Med.),2014,neha83@example.org,22-10-1990,25-11-2016,35,39
2020,58355,Andhra Pradesh Medical Council,Bhavani Subramanian,Victor Comar,MBBS,2000,SVIMS Tirupati,,,kothariyatin@example.com,07-05-1974,05-11-2002,51,26
2003,55558,Andhra Pradesh Medical Council,Praneel Kulkarni,Gaurangi Karnik,MBBS,1983,NTR University of Health Sciences,MD (Pediatrics),2017,vaishnavisankaran@example.org,18-03-1974,10-12-2019,51,43
2015,52456,Andhra Pradesh Medical Council,Mahika Kari,Ekiya Dugal,MBBS,1997,U.Mysore,MD (Gen. Med.),2013,esolanki@example.net,10-01-1981,18-09-2016,45,29
2002,67645,Andhra Pradesh Medical Council,Nakul Bhatnagar,Samesh Kaul,MBBS,1984,SVIMS Tirupati,MD (Pediatrics),2007,samirohan@example.com,19-04-1971,31-03-2010,54,42
2012,68132,Andhra Pradesh Medical Council,Amruta Rajan,Aashi Uppal,MBBS,1992,NTR University of Health Sciences,,,gopalkalpit@example.org,15-01-1990,13-10-2021,35,34
2007,47418,Andhra Pradesh Medical Council,Raghav Mukhopadhyay,Henry Devan,MBBS,1990,SVIMS Tirupati,MS (Ortho),2024,kashvi81@example.com,04-01-1982,18-09-2025,44,36
2022,75645,Andhra Pradesh Medical Council,Vansha Chaudhuri,Januja Ramachandran,MBBS,2004,NTR University of Health Sciences,MS (Ortho),2012,muttikamala@example.net,13-02-1979,06-08-2003,46,22
2000,58754,Andhra Pradesh Medical Council,Aryan Ravi,Alka Borah,MBBS,1982,NTR University of Health Sciences,MS (Ortho),1992,balteerth@example.net,28-01-1990,14-06-2022,35,44
2003,53310,Andhra Pradesh Medical Council,Pranit Wadhwa,Ekaja Naidu,MBBS,1985,U.Mysore,MD (Pediatrics),2020,agrawalansh@example.org,20-03-1992,09-08-2023,33,41
2004,43610,Andhra Pradesh Medical Council,Samar Gaba,Aishani Majumdar,MBBS,1985,NTR University of Health Sciences,MS (Ortho),1994,bhavikabhavsar@example.com,14-09-1987,12-05-2016,38,41
2023,86005,Andhra Pradesh Medical Council,Vyanjana Sule,Manbir Issac,MBBS,2008,U.Mysore,,,pavanisarna@example.org,19-04-1988,04-10-2013,37,18
2006,94797,Andhra Pradesh Medical Council,Atharv Sachdeva,Raksha Sani,MBBS,1989,SVIMS Tirupati,MS (Ortho),1997,sudikshawali@example.org,07-07-1996,17-12-2022,29,37
2016,55768,Andhra Pradesh Medical Council,Pahal Jain,Nisha Bal,MBBS,2000,SVIMS Tirupati,,,chaitalychadha@example.net,11-12-1974,17-07-2013,51,26
2009,61257,Andhra Pradesh Medical Council,Ishanvi Jayaraman,Dayamai Chokshi,MBBS,1990,U.Mysore,MD (Gen. Med.),2000,lila85@example.org,01-09-1998,12-05-2024,27,36
2008,72401,Andhra Pradesh Medical Council,Janani Dara,Lohit Guha,MBBS,1993,NTR University of Health Sciences,MD (Gen. Med.),1998,wnagy@example.org,20-10-1972,04-06-2018,53,33
2017,84246,Andhra Pradesh Medical Council,Nachiket Date,Aadhya Vyas,MBBS,1998,SVIMS Tirupati,MS (Ortho),1998,aashi38@example.net,02-01-1974,31-12-2000,52,28
2013,62002,Andhra Pradesh Medical Council,Yashodhara Rajan,Radha Gandhi,MBBS,1995,NTR University of Health Sciences,MS (Ortho),1996,rishi73@example.net,28-02-1970,30-05-1997,55,31
2011,43184,Andhra Pradesh Medical Council,Dakshesh Kohli,Tara Boase,MBBS,1995,U.Mysore,MD (Gen. Med.),2014,naikyatin@example.com,18-05-1994,15-07-2017,31,31
2007,60288,Andhra Pradesh Medical Council,Finn Doshi,Zayan Sinha,MBBS,1989,NTR University of Health Sciences,MD (Gen. Med.),2000,upasna91@example.net,07-03-1996,05-07-2020,29,37
2013,89270,Andhra Pradesh Medical Council,Hritik Karan,Yatan Sachar,MBBS,1993,NTR University of Health Sciences,MS (Ortho),2011,omkaarpurohit@example.net,24-07-1985,26-03-2014,40,33
2014,93471,Andhra Pradesh Medical Council,Gagan Warrior,Lakshmi Bora,MBBS,1998,U.Mysore,MD (Pediatrics),2005,davidsastry@example.net,28-03-1989,12-10-2021,36,28
2017,65454,Andhra Pradesh Medical Council,Ucchal Master,Nilima Sibal,MBBS,2000,U.Mysore,MS (Ortho),2017,ayushmanchad@example.com,08-08-1990,04-11-2018,35,26
2001,72418,Andhra Pradesh Medical Council,Samuel Taneja,Reva Sarkar,MBBS,1982,U.Mysore,,,eshana56@example.org,04-12-1984,30-10-2008,41,44
2004,53413,Andhra Pradesh Medical Council,Hitesh Gala,Kavya Natarajan,MBBS,1985,U.Mysore,MD (Gen. Med.),2000,michael53@example.com,11-11-1974,08-01-2003,51,41
2022,63716,Andhra Pradesh Medical Council,Nitesh Vasa,Arya Jaggi,MBBS,2003,NTR University of Health Sciences,MD (Gen. Med.),2015,deepchaaya@example.org,15-02-1994,16-01-2021,31,23
2023,86806,Andhra Pradesh Medical Council,Devansh Sheth,Harinakshi Cherian,MBBS,2005,U.Mysore,MD (Pediatrics),2017,ojas30@example.com,15-02-2000,30-08-2022,25,21
2016,96200,Andhra Pradesh Medical Council,Girik Salvi,Jyoti Dar,MBBS,1998,SVIMS Tirupati,MD (Gen. Med.),2005,mohanliam@example.org,21-11-1975,01-11-2007,50,28
2023,44999,Andhra Pradesh Medical Council,Anamika Warrior,Jeevika Shenoy,MBBS,2004,SVIMS Tirupati,MD (Gen. Med.),2017,uamble@example.org,12-09-1998,23-09-2020,27,22
